48.8396298427# 2.3009898653,Quercus,frainetto,SQUARE ADOLPHE CHERIOUX,PARIS 15E ARRDT,160.0,12.0,,,86651
48.8499468102# 2.34421971028,Zelkova,carpinifolia,SQUARE PAUL PAINLEVE,PARIS 5E ARRDT,248.0,22.0,,,87961
48.8200711234# 2.43516626469,Catalpa,bignonioides,PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE,PARIS 12E ARRDT,289.0,10.0,,2000-01-01,92255
48.8814687366# 2.38368012582,Sophora,japonica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,408.0,12.0,,,208094
48.8341620932# 2.38255442632,Platanus,x hispanica,PARC DE BERCY,PARIS 12E ARRDT,525.0,35.0,,,97086
48.8542732882# 2.33573525468,Paulownia,tomentosa,RUE DE FURSTEMBERG,PARIS 6E ARRDT,294.0,23.0,,1999-01-25,97696
48.8232965354# 2.45927689622,Diospyros,kaki,ECOLE DU BREUIL / ROUTE DE LA FERME,PARIS 12E ARRDT,170.0,12.0,,,101731
48.8682643074# 2.36315743986,Quercus,cerris,PLACE DE LA REPUBLIQUE,PARIS 10E ARRDT,60.0,12.0,,2016-01-06,145043
48.8606050739# 2.25977704939,Taxodium,distichum,BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR,PARIS 16E ARRDT,350.0,31.0,,1862-01-01,145905
48.855639773# 2.29642967787,Melia,azedarach,JARDIN DU CHAMP DE MARS,PARIS 7E ARRDT,124.0,12.0,,,146188
48.8741514806# 2.24652913075,Platanus,x hispanica,PLAINE DE JEUX DE BAGATELLE / ROUTE DU CHAMP D ENTRAINEMENT,BOIS DE BOULOGNE,20.0,28.0,,1860-01-01,148653
48.8660671376# 2.40011614213,Ginkgo,biloba,SQUARE EDOUARD VAILLANT,PARIS 20E ARRDT,250.0,26.0,,,149372
48.8709369341# 2.24803445349,Taxus,baccata,PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY,PARIS 16E ARRDT,246.0,15.0,,1772-01-01,207602
48.8492902734# 2.35621122947,Platanus,x hispanica,QUAI SAINT BERNARD,PARIS 5E ARRDT,375.0,25.0,,1900-01-01,210141
48.8557603076# 2.35399346953,Ulmus,minor,PLACE SAINT GERVAIS,PARIS 4E ARRDT,184.0,16.0,,,7484
48.8493165016# 2.34518635839,Platanus,orientalis,SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES,PARIS 5E ARRDT,450.0,24.0,,,13011
48.852346005# 2.35182356011,Tamarix,n. sp.,SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE,PARIS 4E ARRDT,81.0,4.0,,,36032
48.8800955406# 2.38293247968,Cedrus,libani,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,405.0,16.0,,,43588
48.8801157455# 2.38566682415,Aesculus,hippocastanum,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,323.0,25.0,,,43795
48.8476114157# 2.25314300756,Firmiana,simplex,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,126.0,16.0,,,47468
48.8241453324# 2.33794957542,Platanus,x hispanica,PARC MONTSOURIS,PARIS 14E ARRDT,367.0,25.0,,,52392
48.8715363448# 2.27816921701,Platanus,x hispanica,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,450.0,30.0,,,66300
48.8462426895# 2.25137540594,Acer,monspessulanum,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,200.0,16.0,,,66528
48.8341740278# 2.4613206192,Quercus,robur,LAC DES MINIMES - ROUTE RONDE DES MINIMES,PARIS 12E ARRDT,422.0,327.0,,1784-01-01,73728
48.8631730613# 2.26173856394,Pterocarya,fraxinifolia,BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR,PARIS 16E ARRDT,407.0,27.0,,1882-01-01,203493
48.8233574226# 2.33969987606,Fagus,sylvatica,PARC MONTSOURIS,PARIS 14E ARRDT,135.0,5.0,Tortuosa,,117589
48.8493511595# 2.34503292777,Platanus,orientalis,SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES,PARIS 5E ARRDT,391.0,24.0,,,123395
48.8408777406# 2.39210515404,Calocedrus,decurrens,JARDIN DE LA GARE DE REUILLY,PARIS 12E ARRDT,195.0,23.0,,,130339
48.8648374901# 2.36062553598,Corylus,colurna,SQUARE DU TEMPLE / 50 RUE DE BRETAGNE,PARIS 3E ARRDT,223.0,25.0,,,194491
48.8803992479# 2.38129004412,Platanus,x hispanica,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,577.0,30.0,,,195373
48.8183891866# 2.43791851368,Quercus,ilex,PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE,PARIS 12E ARRDT,245.0,23.0,,1860-01-01,196148
48.8330296265# 2.35069308175,Aesculus,hippocastanum,SQUARE RENE LE GALL,PARIS 13E ARRDT,361.0,20.0,,1894-01-01,666
48.8648104138# 2.23370602002,Salix,babylonica,ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS,PARIS 16E ARRDT,285.0,10.0,,1901-01-01,15642
48.857837941# 2.29331862801,Platanus,x hispanica,JARDIN DU CHAMP DE MARS,PARIS 7E ARRDT,695.0,27.0,,,15984
48.863263161# 2.24072476384,Taxodium,distichum,GRANDE CASCADE - CARREFOUR DE LONGCHAMP,PARIS 16E ARRDT,311.0,28.0,,1859-01-01,25056
48.8586730749# 2.25833935548,Magnolia,grandiflora,BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR,PARIS 16E ARRDT,203.0,10.0,,1863-01-01,31218
48.8946546396# 2.32660621447,Fagus,sylvatica,SQUARE DES EPINETTES,PARIS 17E ARRDT,355.0,28.0,Atropunicea,,53943
48.8873518677# 2.31702293925,Fagus,sylvatica,SQUARE DES BATIGNOLLES,PARIS 17E ARRDT,390.0,23.0,Atropurpurea,,55044
48.8656166851# 2.39991870907,Platanus,x hispanica,SQUARE EDOUARD VAILLANT,PARIS 20E ARRDT,500.0,28.0,,,65643
48.8320775848# 2.41181713566,Taxus,baccata,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,101.0,5.0,,1870-01-01,75487
48.8830293243# 2.37006279721,Tilia,tomentosa,PLACE DE LA BATAILLE DE STALINGRAD,PARIS 19E ARRDT,206.0,20.0,,1945-01-01,171650
48.8620845688# 2.3985769149,Diospyros,lotus,CIMETIERE DU PERE LACHAISE / DIV 77,PARIS 20E ARRDT,111.0,12.0,,,183854
48.8388163194# 2.40656685552,Quercus,frainetto,SQUARE CHARLES PEGUY,PARIS 12E ARRDT,169.0,14.0,,1990-01-01,195172
48.882331696# 2.31024539129,Aesculus,hippocastanum,PELOUSES DE LA PLACE DU GENERAL CATROUX,PARIS 17E ARRDT,383.0,25.0,,,120372
48.8692243438# 2.24601704099,Platanus,x hispanica,PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY,PARIS 16E ARRDT,500.0,40.0,,1847-01-01,122802
48.8564741998# 2.39461847904,Platanus,x hispanica,BOULEVARD DE CHARONNE,PARIS 20E ARRDT,407.0,23.0,,,157304
48.8428184075# 2.29688266387,Acer,saccharinum,SQUARE SAINT-LAMBERT,PARIS 15E ARRDT,235.0,20.0,,,180935
48.8210095188# 2.4555149836,Pinus,coulteri,ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE,PARIS 12E ARRDT,234.0,17.0,,2000-01-01,200656
48.887350672# 2.3160147001,Zelkova,carpinifolia,SQUARE DES BATIGNOLLES,PARIS 17E ARRDT,298.0,30.0,,,211337
48.8319199888# 2.41202929042,Liriodendron,tulipifera,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,214.0,21.0,,1930-01-01,14897
48.8569376084# 2.3366340031,Catalpa,bignonioides,SQUARE GABRIEL PIERNE,PARIS 6E ARRDT,270.0,18.0,,,17770
48.8735408016# 2.29045015635,Koelreuteria,paniculata,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,155.0,8.0,,,23790
48.8815367423# 2.38694835229,Gleditsia,triacanthos,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,269.0,32.0,,,24006
48.8225024798# 2.33687318857,Fagus,sylvatica,PARC MONTSOURIS,PARIS 14E ARRDT,400.0,28.0,Riversii,,29125
48.8465006206# 2.25226717382,Liriodendron,tulipifera,JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT,PARIS 16E ARRDT,196.0,23.0,,,30261
48.8395211552# 2.43349884154,Platanus,x hispanica,SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES,PARIS 12E ARRDT,607.0,30.0,,1918-01-01,35095
48.857749011# 2.33940394029,Salix,babylonica,QUAI DE L HORLOGE,PARIS 1ER ARRDT,120.0,14.0,,,36593
